la_position,pend_velocity,pend_position,cmd_volts,elapsed
3.15924,636.923077,-76.14,0.506836,39
3.08448,504,-55.98,0.504883,40
2.9442,400.5,-39.96,2.449219,40
2.51748,355.5,-25.74,3.665039,40
2.0268,302.926829,-13.32,4.735352,41
1.55712,267.692308,-2.88,5.011719,39
1.07874,243,6.84,1.541016,40
0.84624,198,14.76,-4.290039,40
1.29468,81,18,-4.996094,40
1.78704,96.585366,21.96,-4.995117,41
2.24982,143.076923,27.54,-4.993164,39
2.72664,193.5,35.28,-4.492187,40
3.2073,267.804878,46.26,-4.318359,41
3.65184,351,60.3,0.50293,40
3.63072,508.5,80.64,0.503906,40
3.55716,634.5,106.02,0.505859,40
3.49938,761.538462,135.72,0.505859,39
3.44124,847.317073,170.46,0.503906,41
3.38292,882,-154.26,0.505859,40
3.31716,832.5,-120.96,0.504883,40
3.24504,724.5,-91.98,0.503906,40
3.16908,594,-68.22,0.504883,40
3.09438,468,-49.5,0.504883,40
2.9757,360,-35.46,2.256836,39
2.56662,333.658537,-21.78,4.006836,41
2.10108,290.769231,-10.44,5.009766,39
1.60812,263.414634,0.36,5.010742,41
1.1502,244.615385,9.9,-0.189453,39
1.1991,153,16.02,-4.99707,40
1.67664,87.804878,19.62,-4.993164,41
2.14266,110.769231,23.94,-4.996094,39
2.61882,162,30.42,-4.835937,40
3.0906,225,39.42,-4.22168,40
3.5556,292.5,51.12,-3.990234,40
3.52554,675,-82.08,0.50293,40
3.45342,540,-61.02,0.504883,39
3.37824,425.853659,-43.56,0.505859,41
3.30672,328.5,-30.42,0.50293,40
3.22134,256.5,-20.16,1.003906,40
3.07248,216,-11.52,0.75293,40
2.86716,189,-3.96,5.007812,40
2.42226,216.923077,4.5,2.244141,39
2.09922,206.341463,12.96,-2.858398,41
2.50884,64.615385,15.48,-4.996094,39
2.98182,72,18.36,-4.995117,40
3.4518,94.5,22.14,-4.993164,40
3.51978,825.365854,161.64,0.504883,41
3.4668,867.692308,-164.52,0.504883,39
3.40338,832.5,-131.22,0.505859,40
3.33048,741.95122,-100.8,0.50293,41
3.25698,618.461538,-76.68,0.505859,39
3.18018,491.707317,-56.52,0.503906,41
3.1074,369,-41.76,0.506836,40
3.03216,283.5,-30.42,0.626953,40
2.84256,229.5,-21.24,4.398437,40
2.37678,216,-12.6,5.006836,40
1.89774,189,-5.04,5.007812,40
1.42236,162,1.44,2.892578,40
0.98118,153,7.56,-0.960937,40
1.16076,31.5,8.82,-4.641602,40
1.6077,-23.076923,7.92,-4.995117,39
2.08476,-27,6.84,-4.732422,40
2.5599,-13.5,6.3,-4.079102,40
3.03036,0,6.3,-3.764648,40
3.4995,13.5,6.84,-3.774414,40
3.50286,400.5,65.7,0.505859,40
3.43134,522,86.58,0.505859,40
3.36246,639,112.14,0.50293,40
3.29838,763.902439,143.46,0.505859,41
3.24036,846,-180,0.503906,40
3.18102,859.5,-148.32,0.506836,40
3.11454,796.5,-116.46,0.503906,40
3.0417,684,-89.1,0.505859,40
2.97984,558,-66.78,0.050781,40
2.92638,427.5,-49.68,1.636719,40
2.61588,351,-35.64,2.93457,40
2.1468,297,-23.76,4,40
1.66746,238.5,-14.22,4.894531,40
1.19052,193.5,-6.48,5.011719,40
0.73542,152.307692,-0.54,3.760742,39
0.25128,144.878049,5.4,0.21875,41
0.24384,50.769231,7.38,-3.332031,39
0.70626,-36,5.94,-4.462891,40
1.1859,-148.5,0,-3.53125,40
1.6194,-40.5,-1.62,0.114258,40
1.57326,57.073171,0.72,0.764648,41
1.49748,83.076923,3.96,-0.15625,39
1.59312,63,6.48,-2.423828,40
2.01564,-4.5,6.3,-3.923828,40
2.48988,-18,5.58,-3.769531,40
2.97276,-4.390244,5.4,-3.322266,41
3.43098,13.846154,5.94,-3.224609,39
3.51942,400.5,60.48,0.504883,40
3.44772,513,81,0.50293,40
3.37692,639,106.56,0.506836,40
3.31524,751.5,136.62,0.504883,40
3.25734,841.5,-180,0.504883,40
3.19734,859.5,-155.34,0.503906,40
3.12924,801,-123.3,0.504883,40
3.05904,683.076923,-96.66,0.505859,39
3.01338,566.341463,-73.44,-0.428711,41
3.02622,443.076923,-56.16,1.135742,39
2.79432,369,-41.4,2.448242,40
2.37306,310.5,-28.98,3.563477,40
1.89432,256.5,-18.72,4.501953,40
1.40406,206.341463,-10.26,5.006836,41
0.93624,175.384615,-3.42,5.005859,39
0.45306,162,3.06,1.928711,40
0.13062,144,8.82,-1.941406,40
0.50604,18,9.54,-4.995117,40
0.99744,8.780488,9.9,-4.994141,41
1.47636,18,10.62,-4.993164,40
1.9536,40.5,12.24,-4.994141,40
2.42916,76.5,15.3,-4.994141,40
2.90094,117,19.98,-4.993164,40
3.37014,148.5,25.92,-4.994141,40
3.52014,814.5,149.76,0.504883,40
3.46566,877.5,-175.14,0.503906,40
3.40398,864,-140.58,0.505859,40
3.33936,756.923077,-111.06,0.504883,39
3.26148,654.146341,-84.24,0.505859,41
3.18828,521.538462,-63.9,0.503906,39
3.11436,405,-47.7,0.506836,40
3.0435,306,-35.46,0.503906,40
2.86992,256.5,-25.2,4.016602,40
2.39424,254.634146,-14.76,4.792969,41
1.92474,216.923077,-6.3,5.008789,39
1.44792,157.5,0,3.630859,40
0.98058,180,7.2,-0.110352,40
1.04454,94.5,10.98,-4.46875,40
1.52148,30.731707,12.24,-4.996094,41
1.9983,49.5,14.22,-4.993164,40
2.4738,76.5,17.28,-4.996094,40
2.93508,115.384615,21.78,-4.99707,39
3.41676,171.219512,28.8,-4.99707,41
3.51474,841.5,160.56,0.505859,40
3.4608,886.5,-163.98,0.504883,40
3.396,855,-129.78,0.506836,40
3.32568,747,-99.9,0.504883,40
3.25302,609.230769,-76.14,0.506836,39
3.17574,491.707317,-55.98,0.503906,41
3.10374,383.076923,-41.04,0.505859,39
3.02622,301.5,-28.98,0.717773,40
2.81892,252,-18.9,4.501953,40
2.34936,261,-8.46,5.011719,40
1.86954,243,1.26,4.897461,40
1.42038,234,10.62,-0.90918,40
1.58022,130.5,15.84,-4.996094,40
2.04984,94.5,19.62,-4.99707,40
2.52564,121.5,24.48,-4.996094,40
2.9994,180,31.68,-4.77832,40
3.46962,247.5,41.58,-4.598633,40
3.48834,738,-98.1,0.504883,40
3.41532,607.5,-73.8,0.503906,40
3.34158,477,-54.72,0.506836,40
3.2685,373.5,-39.78,0.503906,40
3.18216,288,-28.26,0.986328,40
3.0363,230.769231,-19.26,0.956055,39
2.80218,202.5,-11.16,5.006836,40
2.33304,220.5,-2.34,5.006836,40
1.8549,211.5,6.12,1.245117,40
1.68498,171,12.96,-3.836914,40
2.13666,63,15.48,-4.993164,40
2.62428,74.634146,18.54,-4.996094,41
3.08562,106.153846,22.68,-4.998047,39
3.55296,162,29.16,-4.953125,40
3.59886,877.5,-160.74,0.503906,40
3.53544,832.5,-127.44,0.505859,40
3.46608,733.846154,-98.82,0.503906,39
3.38928,610.243902,-73.8,0.506836,41
3.31518,477,-54.72,0.504883,40
3.24336,369,-39.96,0.504883,40
3.15588,283.5,-28.62,0.96582,40
3.00576,234,-19.26,0.960937,40
2.7729,193.5,-11.52,5.006836,40
2.30532,211.5,-3.06,5.005859,40
1.84884,198.461538,4.68,1.685547,39
1.58952,171.219512,11.7,-2.954102,41
2.0187,46.153846,13.5,-4.996094,39
2.49624,49.5,15.48,-4.99707,40
2.96988,72,18.36,-4.99707,40
3.441,121.5,23.22,-4.996094,40
3.58272,768.292683,139.14,0.503906,41
3.52716,853.846154,-180,0.505859,39
3.4683,873,-152.64,0.503906,40
